,image,name,year,rating
45,"https://m.media-amazon.com/images/M/MV5BYmNkN2RlMzktMDgzNi00OWRmLWI3N2ItYzU5ZGUyMzc3MjJhXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UY67_CR0,0,45,67_AL_.jpg",Закон і порядок: Спеціальний корпус,1999,8.1
46,"https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR4,0,45,67_AL_.jpg",Дивні дива,2016,8.7
47,"https://m.media-amazon.com/images/M/MV5BYjVlMjZhYzYtOGQxNC00OTQxLTk2NzEtMWFmMmNhODA4YjYzXkEyXkFqcGdeQXVyNjQ3MDgwNjY@._V1_UX45_CR0,0,45,67_AL_.jpg",Морська поліція,2003,7.8
48,"https://m.media-amazon.com/images/M/MV5BZTEyNjBjYmYtYWYxYi00MmQyLThlYmItY2I4NzM1Mjg1MWYxXkEyXkFqcGdeQXVyMTU3ODI3MTk2._V1_UY67_CR0,0,45,67_AL_.jpg",Корона,2016,8.6
49,"https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_UX45_CR0,0,45,67_AL_.jpg",Останнє Королівство,2015,8.5
50,"https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY67_CR1,0,45,67_AL_.jpg",Клан Сопрано,1999,9.2
51,"https://m.media-amazon.com/images/M/MV5BNzRmZWJhNjUtY2ZkYy00N2MyLWJmNTktOTAwY2VkODVmOGY3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX45_CR0,0,45,67_AL_.jpg",Надприродне,2005,8.4
52,"https://m.media-amazon.com/images/M/MV5BMmRlYmE0Y2UtNDk2Yi00NzczLWEwZTEtZmE2OTcyYzcxYmU5XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_UY67_CR1,0,45,67_AL_.jpg",Справжній детектив,2014,8.9
53,"https://m.media-amazon.com/images/M/MV5BYjdjNzBmYjEtM2Y5My00YjI0LWJjY2YtOGQ4MjNkNmE2MDVjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Білий лотос,2021,7.9
54,"https://m.media-amazon.com/images/M/MV5BOWEwZTYwMDgtNzE1OC00M2ViLTgwMDAtOTM5NzU5MGU4NjYyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR4,0,45,67_AL_.jpg","Saas, Bahu Aur Flamingo",2023,8.2
55,"https://m.media-amazon.com/images/M/MV5BYzVmOGNlOTctZGFhZi00MTczLTg1MTEtYTg3ZTNkNjQ2YjRlXkEyXkFqcGdeQXVyNjYxNjc0OTc@._V1_UY67_CR0,0,45,67_AL_.jpg",Велика,2020,8.2
56,"https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg",Костюми,2011,8.4
57,"https://m.media-amazon.com/images/M/MV5BNTI3YzhhYmItZTViNC00NmE5LTgzOGQtNmZkOThkZmYwZDY0XkEyXkFqcGdeQXVyMTUzOTcyODA5._V1_UX45_CR0,0,45,67_AL_.jpg",Will Trent,2023,7.6
